State,Women,Men,Total Infection W_M ,Women in Percentage,Men In Percentage,Cases_Caucasian,Cases_Black,Cases_Latino,Cases_Asian,Cases_Native American,Cases_Pacific Islander,Cases_Multiracial,Cases_Other,Cases_Unknown,Hispanic,Non Hispanic ,Unknown, Deaths_Caucasian, Deaths_Black, Deaths_Latinx, Deaths_Asian, Deaths_Native American, Deaths_Pacific Islander, Deaths_Multiracial, Deaths_Other, Deaths_Unknown, Deaths_Ethnicity_Hispanic, Deaths_Ethnicity_NonHispanic, Deaths_Ethnicity_Unknown,Total Doses Delivered,Total Doses Administered by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People who have received a booster dose,Percent of fully vaccinated people with booster doses
Alabama,0,0,844951,0,0,5601494,3373720,0,70420,0,0,0,1414517,7370988,651897,6696828,10512541,147134,88269,0,865,0,0,0,7752,54320,6077,209442,83506,9344040,6136613,3045967,62,2476199,51,62,858145,35
Alaska,70799,73374,144173,49,51,574849,56782,0,73005,373509,54235,127827,195309,404626,106683,932019,816835,3536,293,0,869,3202,634,157,62,244,270,8010,747,1464865,1108025,504539,69,449359,61,69,188122,42
Arizona,649245,608050,1257295,52,48,8458144,815793,7948222,332233,1458070,0,0,1195855,7302572,7947570,12249239,7297993,246312,15778,158204,6473,55350,0,0,12094,54316,158181,339534,54225,14211920,11656237,5232140,72,4404914,61,72,1769853,40
Arkansas,275732,245681,521413,53,47,6652666,1890196,0,105929,31859,195756,61984,634159,1238177,1452815,9376334,12898,122609,28447,0,1347,398,3312,521,6978,9604,7435,165143,389,5921480,4115448,1991116,66,1622985,54,66,621175,38
California,2423900,2285254,4709154,51,49,15360536,3408823,45115829,5045971,241503,448957,1022184,9186953,29593580,45105227,34570019,29576531,499812,114998,750339,191150,5349,8641,15510,21282,44160,749978,856049,43742,86699025,72203934,32494180,82,28000511,71,82,13728499,49
Colorado,409450,396711,806161,51,49,5434639,442188,4240763,215912,78689,43628,195066,115981,3416883,4248220,6536474,3417576,161141,12036,53602,6549,1531,594,5435,1642,12753,53789,188399,12825,11965375,10392018,4529548,79,4004711,70,79,2021778,51
Connecticut,216368,200482,416850,52,48,3014522,863290,1609229,113144,12023,0,308684,334303,3364985,1604219,4537406,3343147,328746,62983,41597,4929,166,0,6540,2160,6124,41394,393766,5998,8381735,7349027,3363017,94,2786396,78,94,1402029,50
Delaware,79984,69847,149831,53,47,1258285,695688,570469,52169,0,0,719,161604,184353,570469,2179157,184353,41977,15657,4168,282,0,0,9,929,1006,4168,58760,992,2243655,1746240,799668,82,662698,68,82,292626,44
District of Columbia,34397,31069,65466,53,47,401729,836556,0,31478,3842,4157,3825,417438,30812,405117,1166493,162738,6267,44206,7376,797,0,0,0,185,560,7354,51259,560,1796405,1434113,677127,95,508530,72,95,180651,36
Florida,0,0,0,0,0,21564304,9386069,21531030,0,0,0,0,4775657,14711909,21567451,31421352,19055293,645122,216552,306902,0,0,0,0,52960,56037,306902,856145,114526,46078085,36344605,16829431,78,14223127,66,78,5522219,39
