State,Women,Men,Women %,Men %,Cases_Caucasian,Cases_Black,Cases_Latino,Cases_Asian,Cases_Native American,Cases_Pacific Islander,Cases_Multiracial,Cases_Other,Cases_Unknown,Hispanic,Non Hispanic ,Unknown, Deaths_Caucasian, Deaths_Black, Deaths_Latinx, Deaths_Asian, Deaths_Native American, Deaths_Pacific Islander, Deaths_Multiracial, Deaths_Other, Deaths_Unknown, Deaths_Ethnicity_Hispanic, Deaths_Ethnicity_NonHispanic, Deaths_Ethnicity_Unknown,Total Doses Delivered,Total Doses Administered by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People who have received a booster dose,Percent of fully vaccinated people with booster doses
Alabama,0,0,#DIV/0!,#DIV/0!,"5,601,494","3,373,720",,"70,420",,,,"1,414,517","7,370,988","651,897","6,696,828","10,512,541","147,134","88,269",,865,,,,"7,752","54,320","6,077","209,442","83,506",9344040,6136613,3045967,62.1,2476199,50.5,62.1,858145,34.7
Alaska,"70,799","73,374",49,51,"574,849","56,782",,"73,005","373,509","54,235","127,827","195,309","404,626","106,683","932,019","816,835","3,536",293,,869,"3,202",634,157,62,244,270,"8,010",747,1464865,1108025,504539,69,449359,61.4,69,188122,41.9
Arizona,"649,245","608,050",52,48,"8,458,144","815,793","7,948,222","332,233","1,458,070",,,"1,195,855","7,302,572","7,947,570","12,249,239","7,297,993","246,312","15,778","158,204","6,473","55,350",,,"12,094","54,316","158,181","339,534","54,225",14211920,11656237,5232140,71.9,4404914,60.5,71.9,1769853,40.2
Arkansas,"275,732","245,681",53,47,"6,652,666","1,890,196",,"105,929","31,859","195,756","61,984","634,159","1,238,177","1,452,815","9,376,334","12,898","122,609","28,447",,"1,347",398,"3,312",521,"6,978","9,604","7,435","165,143",389,5921480,4115448,1991116,66,1622985,53.8,66,621175,38.3
California,"2,423,900","2,285,254",51,49,"15,360,536","3,408,823","45,115,829","5,045,971","241,503","448,957","1,022,184","9,186,953","29,593,580","45,105,227","34,570,019","29,576,531","499,812","114,998","750,339","191,150","5,349","8,641","15,510","21,282","44,160","749,978","856,049","43,742",86699025,72203934,32494180,82.2,28000511,70.9,82.2,13728499,49
Colorado,"409,450","396,711",51,49,"5,434,639","442,188","4,240,763","215,912","78,689","43,628","195,066","115,981","3,416,883","4,248,220","6,536,474","3,417,576","161,141","12,036","53,602","6,549","1,531",594,"5,435","1,642","12,753","53,789","188,399","12,825",11965375,10392018,4529548,78.7,4004711,69.5,78.7,2021778,50.5
Connecticut,"216,368","200,482",52,48,"3,014,522","863,290","1,609,229","113,144","12,023",,"308,684","334,303","3,364,985","1,604,219","4,537,406","3,343,147","328,746","62,983","41,597","4,929",166,,"6,540","2,160","6,124","41,394","393,766","5,998",8381735,7349027,3363017,94.3,2786396,78.2,94.3,1402029,50.3
Delaware,"79,984","69,847",53,47,"1,258,285","695,688","570,469","52,169",,,719,"161,604","184,353","570,469","2,179,157","184,353","41,977","15,657","4,168",282,,,9,929,"1,006","4,168","58,760",992,2243655,1746240,799668,82.1,662698,68.1,82.1,292626,44.2
District of Columbia,"34,397","31,069",53,47,"401,729","836,556",,"31,478","3,842","4,157","3,825","417,438","30,812","405,117","1,166,493","162,738","6,267","44,206","7,376",797,,,,185,560,"7,354","51,259",560,1796405,1434113,677127,95,508530,72.1,95,180651,35.5
Florida,0,0,#DIV/0!,#DIV/0!,"21,564,304","9,386,069","21,531,030",,,,,"4,775,657","14,711,909","21,567,451","31,421,352","19,055,293","645,122","216,552","306,902",,,,,"52,960","56,037","306,902","856,145","114,526",46078085,36344605,16829431,78.4,14223127,66.2,78.4,5522219,38.8
