ethnicity,new_cases,start_date,end_date,7day_case_rate
African American,14,2020-04-05,2020-04-11,29.49
African American,31,2020-06-21,2020-06-27,65.3
African American,19,2020-06-28,2020-07-04,40.02
African American,30,2020-07-05,2020-07-11,63.19
African American,33,2020-07-12,2020-07-18,69.51
African American,40,2020-07-19,2020-07-25,84.26
African American,31,2020-07-26,2020-08-01,65.3
African American,26,2020-08-02,2020-08-08,54.77
African American,27,2020-08-09,2020-08-15,56.87
African American,24,2020-08-16,2020-08-22,50.56
African American,13,2020-08-23,2020-08-29,27.38
African American,11,2020-08-30,2020-09-05,23.17
African American,13,2020-09-13,2020-09-19,27.38
African American,13,2020-10-18,2020-10-24,27.38
African American,19,2020-10-25,2020-10-31,40.02
African American,36,2020-11-01,2020-11-07,75.83
African American,46,2020-11-08,2020-11-14,96.9
African American,77,2020-11-15,2020-11-21,162.2
African American,58,2020-11-22,2020-11-28,122.17
African American,96,2020-11-29,2020-12-05,202.22
African American,124,2020-12-06,2020-12-12,261.2
African American,139,2020-12-13,2020-12-19,292.8
African American,116,2020-12-20,2020-12-26,244.35
African American,159,2020-12-27,2021-01-02,334.93
African American,152,2021-01-03,2021-01-09,320.18
African American,113,2021-01-10,2021-01-16,238.03
African American,84,2021-01-17,2021-01-23,176.94
African American,43,2021-01-24,2021-01-30,90.58
African American,42,2021-01-31,2021-02-06,88.47
African American,36,2021-02-07,2021-02-13,75.83
African American,26,2021-02-14,2021-02-20,54.77
African American,25,2021-02-21,2021-02-27,52.66
African American,21,2021-02-28,2021-03-06,44.24
African American,23,2021-03-07,2021-03-13,48.45
African American,11,2021-03-14,2021-03-20,23.17
African American,19,2021-03-21,2021-03-27,40.02
African American,21,2021-03-28,2021-04-03,44.24
African American,29,2021-04-04,2021-04-10,61.09
African American,18,2021-04-11,2021-04-17,37.92
African American,27,2021-04-18,2021-04-24,56.87
African American,12,2021-04-25,2021-05-01,25.28
African American,11,2021-05-02,2021-05-08,23.17
African American,12,2021-05-09,2021-05-15,25.28
African American,13,2021-05-16,2021-05-22,27.38
African American,11,2021-06-20,2021-06-26,23.17
African American,26,2021-07-04,2021-07-10,54.77
African American,34,2021-07-11,2021-07-17,71.62
African American,51,2021-07-18,2021-07-24,107.43
African American,73,2021-07-25,2021-07-31,153.77
African American,66,2021-08-01,2021-08-07,139.03
African American,81,2021-08-08,2021-08-14,170.62
African American,74,2021-08-15,2021-08-21,155.88
African American,67,2021-08-22,2021-08-28,141.13
African American,49,2021-08-29,2021-09-04,103.22
African American,45,2021-09-05,2021-09-11,94.79
African American,31,2021-09-12,2021-09-18,65.3
African American,40,2021-09-19,2021-09-25,84.26
African American,14,2021-09-26,2021-10-02,29.49
African American,14,2021-10-03,2021-10-09,29.49
African American,13,2021-10-10,2021-10-16,27.38
African American,18,2021-10-17,2021-10-23,37.92
African American,18,2021-10-24,2021-10-30,37.92
African American,38,2021-10-31,2021-11-06,80.05
Asian,15,2020-03-01,2020-03-07,2.29
Asian,43,2020-03-08,2020-03-14,6.56
