Month,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial_Other,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial_Other
20-Apr,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,AL,3582,1657,1279,0,37,0,0,609,0,0,0,0,0,0,0,0
20-Apr,AR,1280,814,324,0,20,4,3,115,0,0,0,0,0,0,0,0
20-Apr,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,AZ,3539,661,65,286,61,223,0,2243,114,28,2,8,3,18,0,55
20-Apr,CA,21794,4323,945,4729,1756,27,270,9744,651,224,54,147,92,2,4,128
20-Apr,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,CT,11510,3030,993,1277,124,0,0,6086,494,343,65,45,6,0,0,35
20-Apr,DC,1874,354,852,0,26,0,6,636,50,6,36,6,2,0,0,0
20-Apr,DE,0,0,0,0,0,0,0,0,35,16,0,0,0,0,0,19
20-Apr,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,GA,12922,1887,2723,372,86,9,6,8211,0,0,0,0,0,0,0,0
20-Apr,GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,IL,20852,5214,5458,2513,691,24,28,6924,720,259,308,70,27,2,1,53
20-Apr,IN,7928,3734,1331,0,55,0,0,2808,343,219,68,0,1,0,0,55
20-Apr,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,KY,1959,1123,159,0,34,1,0,642,1942,1225,342,0,2,0,0,373
20-Apr,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,MA,25475,4271,1358,1885,331,0,0,17630,756,199,20,28,13,0,0,496
20-Apr,MD,8251,2300,3200,0,190,0,0,2561,235,83,104,0,8,0,0,40
20-Apr,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,MI,24635,6652,8130,0,246,246,0,9361,1483,535,594,0,14,0,0,340
20-Apr,MN,1642,1086,145,0,64,16,8,323,70,58,1,0,1,0,1,9
20-Apr,MO,4158,1414,1123,0,0,0,0,1621,108,37,28,0,0,0,0,43
20-Apr,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,MS,2780,1001,1529,0,0,0,0,250,95,32,63,0,0,0,0,0
20-Apr,MT,387,305,1,0,1,13,0,67,0,0,0,0,0,0,0,0
20-Apr,NC,4520,1768,1245,0,54,16,8,1429,81,46,29,0,1,0,0,5
20-Apr,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,NJ,0,0,0,0,0,0,0,0,726,435,175,0,36,0,0,80
20-Apr,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,NY,0,0,0,0,0,0,0,0,6723,3440,2333,0,576,0,0,374
20-Apr,OH,6604,3524,1328,0,124,4,2,1622,253,161,33,0,0,0,0,59
20-Apr,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
