date,state,Abbreviation,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
3/24/22,Alabama,AL,1,1292344,19173,930212,14726,362132,4447
3/24/22,Alaska,AK,2,244247,1186,0,1186,244247,0
3/24/22,American Samoa,AS,60,1932,0,1932,0,0,0
3/24/22,Arizona,AZ,4,1997037,28883,,,,
3/24/22,Arkansas,AR,5,832205,11165,0,,832205,
3/24/22,California,CA,6,9084013,88571,8695198,88268,388815,303
3/24/22,Colorado,CO,8,1344289,12186,,,,
3/24/22,Connecticut,CT,9,733767,10744,,,,
3/24/22,Delaware,DE,10,259003,2836,,,,
3/24/22,District of Columbia,DC,11,136062,1329,134623,1319,1439,10
3/24/22,Florida,FL,12,5840070,72946,0,,5840070,
3/24/22,Georgia,GA,13,2415259,35302,1861227,29898,554032,5404
3/24/22,Guam,GU,66,47978,341,40340,341,7638,0
3/24/22,Hawaii,HI,15,233569,1370,,,,
3/24/22,Idaho,ID,16,443570,4867,347476,3967,96094,900
3/24/22,Illinois,IL,17,3065509,37571,2574289,33336,491220,4235
3/24/22,Indiana,IN,18,1693938,23340,1689919,22422,4019,918
3/24/22,Iowa,IA,19,758064,9402,585926,,172138,
3/24/22,Kansas,KS,20,770530,8222,,,,
3/24/22,Kentucky,KY,21,1316864,14682,,,,
3/24/22,Louisiana,LA,22,1231676,17065,887967,14568,343709,2497
3/24/22,Maine,ME,23,234413,2193,169669,2193,64744,0
3/24/22,Maryland,MD,24,1009969,14316,1009705,14052,264,264
3/24/22,Massachusetts,MA,25,1690983,20063,1557249,18960,133734,1103
3/24/22,Michigan,MI,26,2376507,35493,2069329,32698,307178,2795
3/24/22,Minnesota,MN,27,1427007,12582,1229715,,197292,
3/24/22,Mississippi,MS,28,793960,12369,436451,8146,357509,4223
3/24/22,Missouri,MO,29,1425120,20043,1196717,16946,228403,3097
3/24/22,Montana,MT,30,272599,3240,272599,3240,0,0
3/24/22,Nebraska,NE,31,477183,4053,124891,799,352292,3254
3/24/22,Nevada,NV,32,711794,10031,652768,10031,59026,0
3/24/22,New Hampshire,NH,33,301687,2445,0,,301687,
3/24/22,New Jersey,NJ,34,2192294,33198,1892746,30210,299548,2988
3/24/22,New Mexico,NM,35,517082,7199,517082,7199,0,0
3/24/22,New York,NY,36,4956766,67242,4950754,61738,6012,5504
3/24/22,North Carolina,NC,37,2624977,23169,72109,298,2552868,22871
3/24/22,North Dakota,ND,38,239442,2279,179793,,59649,
3/24/22,Northern Mariana Islands,MP,69,10997,32,10997,32,0,0
3/24/22,Ohio,OH,39,2669698,37793,,,,
3/24/22,Oklahoma,OK,40,1031896,13889,0,,1031896,
3/24/22,Oregon,OR,41,702566,7033,0,,702566,
3/24/22,Pennsylvania,PA,42,2777260,44152,,,,
3/24/22,Puerto Rico,PR,72,511900,4159,268726,0,243174,4159
3/24/22,Rhode Island,RI,44,360016,3435,0,,360016,
3/24/22,South Carolina,SC,45,1467115,17493,1152535,14915,314580,2578
3/24/22,South Dakota,SD,46,236955,2880,0,,236955,
3/24/22,Tennessee,TN,47,1970508,25219,1476543,3948,493965,21271
3/24/22,Texas,TX,48,6658957,87185,5460702,30679,1198255,56506
3/24/22,Utah,UT,49,927389,4681,0,4457,927389,224
3/24/22,Vermont,VT,50,115675,615,0,,115675,
3/24/22,Virginia,VA,51,1664080,19586,,,,
3/24/22,Virgin Islands,VI,78,15606,110,15606,110,0,0
3/24/22,Washington,WA,53,1449501,12468,1239419,3227,210082,9241
3/24/22,West Virginia,WV,54,497111,6687,394395,,102716,
3/24/22,Wisconsin,WI,55,1582616,14145,1390635,12658,191981,1487
3/24/22,Wyoming,WY,56,155988,1783,123023,,32965,
